https://2020.pycon.org.au/program/sun/
ID   | Char | CharCount | URL
36   | 'b'  | 0         | https://en.wikipedia.org/wiki/Category:Set_theoretic_programming_languages 
37   | 'r'  | 109       | https://en.wikipedia.org/wiki/SLIP_(programming_language) 
38   | 'a'  | 2938      | https://en.wikipedia.org/wiki/C_Sharp_(programming_language) 
39   | 'r'  | 70        | https://en.wikipedia.org/wiki/DARSIMCO 
40   | 'y'  | 1279      | https://en.wikipedia.org/wiki/Python_(programming_language) 

------

ID   | Char | CharCount | URL
0    | 'u'  | 1433      | https://en.wikipedia.org/wiki/Python_(programming_language) 
1    | 'n'  | 2743      | https://en.wikipedia.org/wiki/Java_(programming_language) 
2    | 'd'  | 229       | https://en.wikipedia.org/wiki/TI-BASIC_83 
3    | 'e'  | 68        | https://en.wikipedia.org/wiki/Category:Prototype-based_programming_languages 
4    | 'r'  | 70        | https://en.wikipedia.org/wiki/COWSEL 
5    | ' '  | 146       | https://en.wikipedia.org/wiki/General-purpose_programming_language 
6    | '2'  | 88        | https://en.wikipedia.org/wiki/Zig_(programming_language) 
7    | '0'  | 0         | https://en.wikipedia.org/wiki/Category:Term-rewriting_programming_languages 
8    | '0'  | 2         | https://en.wikipedia.org/wiki/Category:Experimental_programming_languages 
9    | ' '  | 448       | https://en.wikipedia.org/wiki/Kojo_(learning_environment) 
10   | 'l'  | 210       | https://en.wikipedia.org/wiki/Io_(programming_language) 
11   | 'i'  | 1044      | https://en.wikipedia.org/wiki/Haxe 
12   | 'n'  | 1013      | https://en.wikipedia.org/wiki/SNOBOL 
13   | 'e'  | 137       | https://en.wikipedia.org/wiki/Category:Dynamically_typed_programming_languages 
14   | 's'  | 1936      | https://en.wikipedia.org/wiki/Julia_(programming_language) 

------

ID   | Char | CharCount | URL
0    | 'u'  | 8         | https://en.wikipedia.org/wiki/Category:Nondeterministic_programming_languages 
1    | 'n'  | 138       | https://en.wikipedia.org/wiki/Programming_Languages:_Application_and_Interpretation 
2    | 'd'  | 736       | https://en.wikipedia.org/wiki/Clojure 
3    | 'e'  | 37        | https://en.wikipedia.org/wiki/Category:Formula_manipulation_languages 
4    | 'r'  | 183       | https://en.wikipedia.org/wiki/Cameleon_(programming_language) 
5    | 's'  | 125       | https://en.wikipedia.org/wiki/Clascal 
6    | 't'  | 121       | https://en.wikipedia.org/wiki/%D0%AD%D0%BB%D1%8C-76 
7    | 'a'  | 1685      | https://en.wikipedia.org/wiki/Clojure 
8    | 'n'  | 26        | https://en.wikipedia.org/wiki/Milk_(programming_language) 
9    | 'd'  | 115       | https://en.wikipedia.org/wiki/Flowcode 
10   | 'a'  | 4385      | https://en.wikipedia.org/wiki/APL_(programming_language) 
11   | 'b'  | 49        | https://en.wikipedia.org/wiki/Universal_Test_Specification_Language 
12   | 'l'  | 17        | https://en.wikipedia.org/wiki/Category:High_Integrity_Programming_Language 
13   | 'e'  | 192       | https://en.wikipedia.org/wiki/Category:Domain-specific_programming_languages 
14   | '/'  | 24        | https://en.wikipedia.org/wiki/Quantum_Computation_Language 
15   | 'e'  | 117       | https://en.wikipedia.org/wiki/Boomerang_(programming_language) 
16   | 'a'  | 177       | https://en.wikipedia.org/wiki/Flowcode 
17   | 's'  | 108       | https://en.wikipedia.org/wiki/Behavioral_Description_Language 
18   | 'y'  | 17        | https://en.wikipedia.org/wiki/Embedded_style_language 
19   | ' '  | 120       | https://en.wikipedia.org/wiki/Category:Academic_programming_languages 
20   | 't'  | 44        | https://en.wikipedia.org/wiki/Category:Data-structured_programming_languages 
21   | 'o'  | 121       | https://en.wikipedia.org/wiki/Hermes_(programming_language) 
22   | ' '  | 271       | https://en.wikipedia.org/wiki/Category:Domain-specific_programming_languages 
23   | 'p'  | 305       | https://en.wikipedia.org/wiki/Simula 
24   | 'a'  | 30        | https://en.wikipedia.org/wiki/Category:Nondeterministic_programming_languages 
25   | 'r'  | 92        | https://en.wikipedia.org/wiki/GLOBAL 
26   | 's'  | 868       | https://en.wikipedia.org/wiki/SNOBOL 
27   | 'e'  | 128       | https://en.wikipedia.org/wiki/Scientific_Vector_Language 
28   | ' '  | 45        | https://en.wikipedia.org/wiki/Category:Set_theoretic_programming_languages 
29   | 'b'  | 1         | https://en.wikipedia.org/wiki/Category:Synchronous_programming_languages 
30   | 'y'  | 26        | https://en.wikipedia.org/wiki/Hermes_(programming_language) 
31   | ' '  | 131       | https://en.wikipedia.org/wiki/Category:Text-oriented_programming_languages 
32   | 'h'  | 21        | https://en.wikipedia.org/wiki/Category:Non-English-based_programming_languages 
33   | 'u'  | 12        | https://en.wikipedia.org/wiki/Category:Discontinued_programming_languages 
34   | 'm'  | 215       | https://en.wikipedia.org/wiki/C%2B%2B17 
35   | 'a'  | 106       | https://en.wikipedia.org/wiki/Behavioral_Description_Language 
36   | 'n'  | 221       | https://en.wikipedia.org/wiki/Cameleon_(programming_language) 
37   | 's'  | 32        | https://en.wikipedia.org/wiki/KOMPILER 

------

ID   | Char | CharCount | URL
0    | 'r'  | 112       | https://en.wikipedia.org/wiki/Darwin_(programming_language) 
1    | 'u'  | 7         | https://en.wikipedia.org/wiki/Category:Tree_programming_languages 
2    | 'n'  | 149       | https://en.wikipedia.org/wiki/Category:Domain-specific_programming_languages 
3    | ' '  | 120       | https://en.wikipedia.org/wiki/Category:Multi-paradigm_programming_languages 
4    | 's'  | 32        | https://en.wikipedia.org/wiki/Category:Shading_languages 
5    | 'u'  | 45        | https://en.wikipedia.org/wiki/Category:Academic_programming_languages 
6    | 'c'  | 32        | https://en.wikipedia.org/wiki/Category:Object-based_programming_languages 
